Id,LotFrontage,LotArea,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Total_rooms,SalePrice
1160,76,9120,1876,0,0,2,1,4,6.5,185000
217,65,8450,1436,1,0,2,0,3,6,210000
1393,68,7838,900,1,0,1,0,3,5,123000
1240,64,9037,1484,0,0,2,0,2,4,265900
1055,90,11367,1989,1,0,2,1,3,6.5,255000
1325,75,9986,1795,0,0,2,0,2,4,147000
1348,93,15306,1776,1,0,2,0,3,6,283463
220,43,3010,1248,0,0,2,0,2,4,167240
206,99,11851,1442,0,0,2,0,3,5,180500
991,82,9452,2392,1,0,2,1,3,6.5,348000
408,63,15576,1680,0,0,2,0,4,6,177000
675,80,9200,1136,1,0,1,0,3,5,140000
341,85,14191,1908,0,0,2,1,4,6.5,202900
917,50,9000,480,1,0,0,0,1,2,35311
484,32,4500,1216,1,0,2,0,2,5,164000
1362,124,16158,1530,1,0,2,0,3,6,260000
1342,66,13695,1114,1,0,1,0,3,5,155000
1192,24,2645,1441,0,0,2,1,2,4.5,174000
233,21,1680,987,0,0,1,1,2,3.5,94500
63,44,6442,1370,0,0,2,0,2,4,202500
1103,70,7000,1134,0,0,1,0,2,3,135000
140,65,15426,1764,1,0,2,1,3,6.5,231500
529,58,9098,605,1,0,1,0,2,4,86000
1274,124,11512,1357,1,0,1,0,2,4,177000
824,60,9900,1489,0,0,2,0,3,5,139500
910,149,12589,1484,0,0,2,1,3,5.5,174000
886,50,5119,1709,1,0,2,0,2,5,328900
404,93,12090,2263,0,0,2,1,4,6.5,258000
647,60,7200,1048,0,0,1,0,3,4,98300
363,64,7301,1922,0,0,3,0,4,7,198500
381,50,5000,1691,0,0,2,0,3,5,127000
537,57,8924,1724,0,0,2,1,3,5.5,188000
831,80,11900,1392,1,0,1,1,3,5.5,166000
567,77,11198,2504,0,0,2,1,4,6.5,325000
770,47,53504,3279,1,0,3,1,4,8.5,538000
595,88,7990,924,0,0,1,0,3,4,110000
1235,55,8525,1964,0,0,1,1,4,5.5,130000
1131,65,7804,1981,1,0,2,0,4,7,135000
2,80,9600,1262,0,1,2,0,3,5.5,181500
1324,50,5330,708,0,0,1,0,2,3,82500
1387,80,16692,2784,1,0,3,1,5,9.5,250000
144,78,10335,1501,1,0,2,0,3,6,204000
130,69,8973,1053,0,1,1,1,3,5,150000
807,75,9750,980,0,0,2,0,3,5,135500
1299,313,63887,5642,2,0,2,1,3,7.5,160000
609,78,12168,3194,0,0,2,1,4,6.5,359100
1086,73,9069,996,1,0,1,0,2,4,147000
741,60,9600,1432,0,0,2,0,2,4,132000
469,98,11428,1634,0,0,2,0,3,5,250000
953,60,7200,768,0,1,1,0,2,3.5,133900
659,78,17503,1458,0,1,1,0,3,4.5,97500
193,68,9017,1431,1,0,2,0,3,6,192000
380,60,8123,1800,0,0,2,1,3,5.5,179000
548,54,7244,768,1,0,1,0,2,4,129500
660,75,9937,1486,1,0,1,0,3,5,167000
579,34,3604,1392,0,0,2,0,2,4,146000
374,79,10634,1319,1,0,1,0,3,5,123000
1092,24,2160,1252,1,0,2,1,2,5.5,160000
800,60,7200,1768,1,0,1,1,3,5.5,175000
879,88,11782,1155,1,0,1,0,3,5,148000
621,45,8248,864,1,0,1,0,2,4,67000
957,24,1300,1229,0,0,1,1,2,3.5,124000
779,60,8400,2020,0,0,2,0,4,6,144000
580,81,12150,1795,0,0,2,0,4,6,131500
1177,37,6951,923,1,0,1,0,3,5,119500
703,82,12438,2576,0,0,2,1,4,6.5,361919
194,24,2522,1709,0,0,2,0,3,5,130000
1134,80,9828,2020,0,0,2,1,3,5.5,239500
875,52,5720,1131,0,0,1,1,3,4.5,66500
449,50,8600,1376,0,0,2,0,3,5,119500
136,80,10400,1682,0,0,2,0,3,5,174000
1422,53,4043,1069,0,0,2,0,2,4,127500
811,78,10140,1309,1,0,1,1,3,5.5,181000
421,78,7060,1344,2,0,2,0,2,6,206300
75,60,5790,1605,0,0,2,0,3,5,107400
510,80,9600,1041,1,0,1,0,3,5,124500
1186,60,9738,1221,1,0,1,0,4,6,104900
326,50,5000,803,0,0,1,0,2,3,87000
110,105,11751,1844,0,0,2,0,3,5,190000
321,111,16259,2596,0,0,3,1,4,7.5,342643
1218,72,8640,1314,1,0,2,0,3,6,229456
1457,85,13175,2073,1,0,2,0,3,6,210000
765,30,9549,1494,1,0,1,1,2,4.5,270000
1376,89,10991,1571,0,0,2,0,3,5,239000
992,121,17671,1742,0,0,1,1,4,5.5,168000
996,51,4712,1230,1,0,1,1,3,5.5,121600
166,62,10106,1355,1,0,2,0,4,7,127500
1351,91,11643,2634,1,1,2,2,6,10.5,200000
858,65,8125,1481,0,0,2,1,3,5.5,174000
252,44,4750,1625,1,1,2,0,2,5.5,235000
568,70,10171,1535,0,0,2,0,3,5,214000
634,80,9250,1056,0,1,1,0,3,4.5,139400
269,71,6900,778,0,0,1,0,2,3,120500
147,51,6120,875,1,0,1,0,2,4,105000
1410,46,20544,2093,0,0,2,1,3,5.5,215000
653,70,8750,1716,0,0,2,1,2,4.5,191000
516,94,12220,2020,1,0,2,1,3,6.5,402861
19,66,13695,1114,1,0,1,1,3,5.5,159000
323,86,10380,2730,1,0,2,1,4,7.5,301000
1276,95,11345,1920,0,0,2,0,4,6,137000